class_index,class_name,precision,recall,f1_score,support,auc_ovr,average_precision
0,Healthy_Leaf,0.9915682967959528,0.9671052631578947,0.9791840133222315,608.0,0.9997294631017952,0.9970100455349904
1,Healthy_Nut,0.9968135953266065,0.9941737288135594,0.9954919119596924,1888.0,0.9999534572529545,0.9998327070823789
2,Healthy_Trunk,0.9930458970792768,0.9944289693593314,0.9937369519832986,1436.0,0.9999296871132791,0.9996494323329486
3,Mahali_Koleroga,0.9964788732394366,0.9933697347893916,0.994921875,2564.0,0.9999669415348043,0.9999215088122577
4,Stem_bleeding,0.9551282051282052,0.9802631578947368,0.9675324675324676,152.0,0.9997832692958292,0.9922893142297632
5,bud borer,0.9038461538461539,0.9791666666666666,0.94,144.0,0.9996918004587155,0.9853364935088124
6,healthy_foot,1.0,0.8653846153846154,0.9278350515463918,52.0,0.9999956353224624,0.9992877492877492
7,stem cracking,0.9597069597069597,0.9703703703703703,0.9650092081031307,540.0,0.9996057806966023,0.9948233908397754
8,yellow leaf disease,0.9798792756539235,0.9871621621621621,0.9835072366206664,1480.0,0.9995359762525254,0.9976815433593986
