class_index,class_name,precision_nonaug,recall_nonaug,f1_nonaug,auc_nonaug,precision_aug,recall_aug,f1_aug,auc_aug,delta_f1,delta_auc
0,Healthy_Leaf,0.9805194805194806,0.993421052631579,0.9869281045751634,0.9999,0.9915682967959528,0.9671052631578947,0.9791840133222315,0.9997,-0.007744091252931962,-0.00019999999999997797
1,Healthy_Nut,1.0,1.0,1.0,1.0,0.9968135953266065,0.9941737288135594,0.9954919119596924,1.0,-0.004508088040307556,0.0
2,Healthy_Trunk,0.9833795013850416,0.9888579387186629,0.9861111111111112,0.9995,0.9930458970792768,0.9944289693593314,0.9937369519832986,0.9999,0.007625840872187428,0.00039999999999995595
3,Mahali_Koleroga,1.0,0.9984399375975039,0.9992193598750976,1.0,0.9964788732394366,0.9933697347893916,0.994921875,1.0,-0.0042974848750976236,0.0
4,Stem_bleeding,0.9743589743589743,1.0,0.987012987012987,1.0,0.9551282051282052,0.9802631578947368,0.9675324675324676,0.9998,-0.01948051948051943,-0.00019999999999997797
5,bud borer,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9993,0.9038461538461539,0.9791666666666666,0.94,0.9997,0.07043478260869562,0.00040000000000006697
6,healthy_foot,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9999,1.0,0.8653846153846154,0.9278350515463918,1.0,0.004758128469468659,9.999999999998899e-05
7,stem cracking,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9996,0.9597069597069597,0.9703703703703703,0.9650092081031307,0.9996,0.002046245140167824,0.0
8,yellow leaf disease,0.989159891598916,0.9864864864864865,0.9878213802435724,0.9998,0.9798792756539235,0.9871621621621621,0.9835072366206664,0.9995,-0.0043141436229059416,-0.00029999999999996696
